\textbf{name}	&	\textbf{name}	&	\textbf{soc (FPKM)$\pm$ SD }			&	\textbf{sol (FPKM) $\pm$ SD}	$\pm$		 \\ \hline
comp10487\_c0\_seq1	&	BDNF	&	256	$\pm$	76	&	228	$\pm$	70	 \\ \hline
comp11013\_c0\_seq1	&	Neuroligan-3	&	242	$\pm$	115	&	197	$\pm$	109	\\ \hline
comp12135\_c1\_seq2	&	NEC-1	&	977	$\pm$	409	&	857	$\pm$	368	 \\ \hline
comp12180\_c0\_seq2	&	Neuronal PAS3	&	80	$\pm$	56	&	72	$\pm$	60	 \\ \hline
comp12249\_c0\_seq1	&	NMDA R1	&	1175	$\pm$	809	&	1087	$\pm$	685	\\ \hline
comp12444\_c0\_seq1	&	5-HT2C	&	673	$\pm$	925	&	1312	$\pm$	2144	\\ \hline
comp12616\_c0\_seq2	&	Histone Acetyltransferase p300	&	180	$\pm$	95	&	101	$\pm$	67	 \\ \hline
comp12659\_c0\_seq2	&	PSD-95	&	6851	$\pm$	4701	&	5835	$\pm$	2453	 \\ \hline
comp12745\_c0\_seq2	&	Peroxin-5	&	247	$\pm$	106	&	278	$\pm$	135	 \\ \hline
comp12920\_c1\_seq2	&	Ataxin-3	&	104	$\pm$	44	&	105	$\pm$	46	 \\ \hline
comp13367\_c0\_seq1	&	Guanine Nucleotide Binding Protein	&	99	$\pm$	38	&	95	$\pm$	28	 \\ \hline
comp13702\_c0\_seq12	&	Abelson Interactor 2	&	269	$\pm$	157	&	285	$\pm$	143	\\ \hline
comp14536\_c0\_seq1	&	MAPKK1	&	6096	$\pm$	3119	&	4948	$\pm$	1532	 \\ \hline
comp14614\_c0\_seq1	&	Shank1	&	3387	$\pm$	1423	&	3100	$\pm$	902	 \\ \hline
comp15294\_c0\_seq1	&	MCAD	&	1044	$\pm$	450	&	1324	$\pm$	1068	 \\ \hline
comp16411\_c0\_seq1	&	POMC	&	48	$\pm$	111	&	54	$\pm$	124	 \\ \hline
comp18034\_c0\_seq1	&	PTEN	&	2411	$\pm$	861	&	2454	$\pm$	943	\\ \hline
comp19765\_c0\_seq1	&	ProSAP2	&	239	$\pm$	174	&	226	$\pm$	90	\\ \hline
comp20237\_c0\_seq1	&	CLN8	&	599	$\pm$	331	&	527	$\pm$	218	\\ \hline
comp21149\_c0\_seq1	&	MeCp-2	&	177	$\pm$	66	&	180	$\pm$	73	 \\ \hline
comp21157\_c0\_seq1	&	Caveolin-1	&	195	$\pm$	96	&	202	$\pm$	104	 \\ \hline
comp22526\_c0\_seq1	&	GR	&	483	$\pm$	279	&	535	$\pm$	325	\\ \hline
comp24215\_c0\_seq1	&	Retinoic Acid receptor	&	31	$\pm$	21	&	33	$\pm$	14	 \\ \hline
comp25793\_c0\_seq1	&	CRH-BP	&	136	$\pm$	31	&	139	$\pm$	50	 \\ \hline
comp28662\_c0\_seq1	&	Neuronal Acetylcholine Receptor B2	&	732	$\pm$	419	&	581	$\pm$	215	\\ \hline
comp32945\_c0\_seq1	&	NMDA R2A	&	181	$\pm$	160	&	172	$\pm$	161	 \\ \hline
comp35997\_c0\_seq1	&	Tenascin-R	&	687	$\pm$	539	&	604	$\pm$	494	\\ \hline
comp3934\_c0\_seq2	&	Chorein	&	1217	$\pm$	410	&	1187	$\pm$	417	\\ \hline
comp4697\_c1\_seq1	&	Nuclear Receptor TLX	&	151	$\pm$	44	&	141	$\pm$	32	 \\ \hline
comp49052\_c0\_seq1	&	Dopamine D2 Receptor	&	89	$\pm$	52	&	76	$\pm$	48	 \\ \hline
comp49278\_c0\_seq1	&	NMDA R2B	&	85	$\pm$	46	&	70	$\pm$	46	 \\ \hline
comp51753\_c0\_seq1	&	Caspr4	&	302	$\pm$	113	&	248	$\pm$	100	\\ \hline
comp5378\_c0\_seq1	&	HGPRT	&	149	$\pm$	57	&	160	$\pm$	72	\\ \hline
comp5525\_c0\_seq2	&	Dishevelled-1	&	295	$\pm$	79	&	284	$\pm$	72	 \\ \hline
comp5533\_c0\_seq1	&	JIP-2	&	2631	$\pm$	1359	&	2298	$\pm$	894	 \\ \hline
comp5545\_c0\_seq1	&	Hungtingtin	&	2935	$\pm$	1854	&	2472	$\pm$	1191	 \\ \hline
comp5551\_c0\_seq1	&	nPKC-epsilon	&	7542	$\pm$	3889	&	6562	$\pm$	1839	 \\ \hline
comp6018\_c1\_seq1	&	MR	&	1483	$\pm$	648	&	1429	$\pm$	538	\\ \hline
comp6176\_c0\_seq1	&	Neuroligan-2	&	2668	$\pm$	1527	&	2167	$\pm$	816	 \\ \hline
comp6729\_c0\_seq1	&	Dardarin	&	165	$\pm$	103	&	125	$\pm$	77	\\ \hline
comp7178\_c0\_seq1	&	CRF-R1	&	212	$\pm$	129	&	180	$\pm$	90	\\ \hline
comp72570\_c0\_seq1	&	IL-1	&	49	$\pm$	33	&	48	$\pm$	30	 \\ \hline
comp8432\_c1\_seq2	&	Annexin A3	&	213	$\pm$	163	&	279	$\pm$	267	 \\ \hline
comp9154\_c0\_seq2	&	Junctophillin-3	&	3684	$\pm$	1533	&	3139	$\pm$	849	\\ \hline
comp9338\_c0\_seq1	&	Somatostatin Receptor	&	94	$\pm$	39	&	83	$\pm$	37	 \\ \hline
